year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;13.5;9.5;12.4;17.2;12.6;8.6;7.8;7.8
2015;12.8;8.7;14;14.1;14.1;10.1;5.7;5.7
2019;17.1;12.1;19.5;16.5;17;12.4;12.4;9
