year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;4.5;2.7;9.5;4.2;3.5;1.5;1.2;2.5
2015;4.8;3;8.4;4.7;3.6;3.9;1.9;1.4
2019;3.4;2;6.6;3.8;2.3;1.2;1.4;1.9
