year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;7.7;4.2;12.1;8.5;5.1;4.4;2.5;3
2015;8;4;11;9.7;4.3;4.4;3.6;4
2019;6.6;3.7;6.7;7.1;4.4;5.2;3.4;4.1
