year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;40.9;37;36.3;41.3;40.3;41.7;36.9;32.5
2015;38.1;40.5;38.9;38.5;42.8;41.5;37.8;35.3
2019;47.6;48.9;45.5;48.1;47.4;51;49.7;46.2
