year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;16.3;14.3;10.8;12.9;16.4;15;18;19.5
2015;18;15;13.8;13.9;16.1;16.5;19.5;18.7
2019;13.7;15.9;13;13.1;16.5;15.4;14.5;16.1
