year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;28.1;27.8;25;29;25.8;31.7;28.7;25.6
2015;28.5;29.1;30.1;28.8;28.5;27.8;27.7;31.3
2019;32.2;38.1;31.5;39.5;34.5;34.3;36.7;33.5
