year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;24.7;26.2;20.1;26.3;25.2;26.9;25.4;28.2
2015;22.4;25.5;17.2;22.9;27.8;25.4;24;24.3
2019;28.2;27.9;28.4;27.1;25.5;29.4;31.1;26.6
