year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;18.9;16.8;23.7;19.1;18.7;14.2;16.2;15.6
2015;17.8;17;21.5;19.7;17.1;17.6;15.7;12.7
2019;15.9;11.7;16.1;12;15.3;14.4;11.5;13.7
