year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;14.7;11.7;17.3;17.5;12.8;10.7;7.5;13.4
2015;11.6;8.7;12.9;14;11.3;8.9;7.8;5.3
2019;16.3;13.4;18.2;16.2;16.9;14;12.8;10.3
