year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;5.5;3.5;9.8;5.9;3.1;3.9;2.6;2.3
2015;5.2;3.8;11.8;4.7;3.6;3.7;2.8;1.8
2019;3.6;2.2;4.1;1.8;3.5;2.1;2.4;3.8
