year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;34.7;42.2;28;32.3;36.6;39.9;48.5;49.8
2015;37.5;39.2;29.1;32.3;34.1;38.2;46.5;50.5
2019;25.6;30.9;27.3;27.2;25.2;26.3;30.1;36.8
