year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;38.2;37.9;33.1;35.9;41.7;42.1;38.6;32.8
2015;40.4;43.5;37.5;43.8;46.4;43.5;39;39.4
2019;47;48.4;40.9;45.5;49.5;51.4;49.9;46.4
