year;Frau;Mann;Alter_1;Alter_2;Alter_3;Alter_4;Alter_5;Alter_6
2011;6.8;4.6;11.9;8.5;5.7;3.4;2.8;1.7
2015;5.3;4.9;8.7;5.3;4.6;5.7;3.8;3
2019;7.5;5;9.4;9.3;4.9;6.2;4.9;2.6
